step,tokens_seen,train_flops_est,mmlu_proxy
0,0,0.0,44.50
1000,1048576000.0,2.573e+19,48.50
2000,2097152000.0,5.146e+19,45.50
3000,3145728000.0,7.720e+19,46.00
4000,4194304000.0,1.029e+20,45.50
5000,5242880000.0,1.287e+20,45.50
6000,6291456000.0,1.544e+20,44.00
7000,7340032000.0,1.801e+20,44.50
8000,8388608000.0,2.059e+20,45.00
9000,9437184000.0,2.316e+20,46.50
10000,10485760000.0,2.573e+20,46.00
11000,11534336000.0,2.831e+20,45.00
12000,12582912000.0,3.088e+20,50.00
13000,13631488000.0,3.345e+20,45.50
